Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves,games,ClubID,ClubPower,Predicted Performace index,Cost Efficiency
88,Dominic Solanke,6,10,2865,52,279.9,524.8,1046,184.4,8,0,2,56,FWD,Bournemouth,85.1,,31,3,85.1,12,0.21428571428571427
89,Lewis Cook,0,2,1712,39,352.5,313.0,45,71.2,3,0,4,49,MID,Bournemouth,85.1,,19,3,85.1,10,0.20408163265306123
91,Ryan Christie,1,2,1825,35,421.7,282.0,400,110.5,3,0,2,53,MID,Bournemouth,85.1,,20,3,85.1,15,0.2830188679245283
92,Philip Billing,7,2,2766,54,388.8,622.0,441,145.2,9,0,5,50,MID,Bournemouth,85.1,,30,3,85.1,21,0.42
93,Chris Mepham,0,0,2197,52,54.4,556.4,134,74.4,5,0,7,43,DEF,Bournemouth,85.1,,24,3,85.1,10,0.23255813953488372
94,Mark Travers,0,0,1035,32,0.0,253.0,0,25.4,2,0,0,41,GK,Bournemouth,85.1,36.0,11,3,85.1,3,0.07317073170731707
95,Lloyd Kelly,0,2,2040,38,97.7,394.0,26,52.1,5,0,3,43,DEF,Bournemouth,85.1,,22,3,85.1,7,0.16279069767441862
97,Jaidon Anthony,3,1,1241,29,209.1,299.4,263,77.2,2,0,2,52,MID,Bournemouth,85.1,,13,3,85.1,11,0.21153846153846154
98,Jordan Zemura,0,1,1452,31,232.8,269.4,71,57.1,5,0,1,42,DEF,Bournemouth,85.1,,16,3,85.1,7,0.16666666666666666
100,Jack Stephens,0,0,1218,24,57.3,270.0,51,38.0,4,0,3,43,DEF,Bournemouth,85.1,,13,3,85.1,5,0.11627906976744186
101,Joe Rothwell,0,1,1010,15,153.3,127.4,27,30.6,3,0,1,49,MID,Bournemouth,85.1,,11,3,85.1,4,0.08163265306122448
102,Marcus Tavernier,5,4,1740,37,348.4,459.8,436,124.2,5,0,1,47,MID,Bournemouth,85.1,,19,3,85.1,17,0.3617021276595745
105,Norberto Murara Neto,0,0,2385,39,0.0,727.6,0,72.8,6,0,4,45,GK,Bournemouth,85.1,100.0,26,3,85.1,10,0.2222222222222222
106,Marcos Senesi,2,0,2489,55,78.7,586.0,109,77.5,5,0,7,44,DEF,Bournemouth,85.1,,27,3,85.1,10,0.22727272727272727
113,Dango Ouattara,1,3,1239,23,261.0,276.8,274,81.0,1,0,1,50,MID,Bournemouth,85.1,,13,3,85.1,11,0.22
116,Matías Viña,2,0,452,10,28.1,156.4,92,27.7,1,0,1,45,DEF,Bournemouth,85.1,,5,3,85.1,3,0.06666666666666667
118,Hamed Traorè,0,0,425,8,218.5,84.0,36,33.8,2,0,0,45,MID,Bournemouth,85.1,,4,3,85.1,4,0.08888888888888889
121,Pontus Jansson,1,0,722,14,2.5,176.2,53,23.4,2,0,0,42,DEF,Brentford,85.4,,8,4,85.4,3,0.07142857142857142
122,Christian Nørgaard,1,6,1763,23,173.7,379.2,269,82.3,6,0,6,53,MID,Brentford,85.4,,19,4,85.4,11,0.20754716981132076
123,Ivan Toney,20,4,2953,42,424.3,926.8,1240,258.7,10,0,9,71,FWD,Brentford,85.4,,32,4,85.4,16,0.22535211267605634
124,David Raya Martin,0,0,3420,46,20.1,1125.4,4,115.2,12,0,1,48,GK,Brentford,85.4,154.0,38,4,85.4,16,0.3333333333333333
126,Josh Dasilva,4,2,1371,17,206.1,304.2,182,69.2,5,0,1,41,MID,Brentford,85.4,,15,4,85.4,10,0.24390243902439024
127,Kristoffer Ajer,0,0,763,14,24.7,96.8,27,15.1,4,0,0,45,DEF,Brentford,85.4,,8,4,85.4,2,0.044444444444444446
128,Rico Henry,0,3,3240,46,401.9,444.4,197,104.5,11,0,4,44,DEF,Brentford,85.4,,36,4,85.4,14,0.3181818181818182
129,Vitaly Janelt,3,1,2201,28,246.1,411.2,223,88.1,8,0,3,55,MID,Brentford,85.4,,24,4,85.4,12,0.21818181818181817
131,Mathias Jensen,5,7,2805,40,787.9,644.0,208,164.1,10,0,5,48,MID,Brentford,85.4,,31,4,85.4,23,0.4791666666666667
132,Yoane Wissa,7,4,1587,17,184.5,363.8,414,95.5,7,0,3,60,MID,Brentford,85.4,,17,4,85.4,13,0.21666666666666667
133,Mads Roerslev Rasmussen,0,0,1101,12,120.6,167.6,46,33.4,5,0,0,43,DEF,Brentford,85.4,,12,4,85.4,4,0.09302325581395349
135,Ethan Pinnock,3,0,2700,34,104.9,751.6,279,113.8,10,0,0,44,DEF,Brentford,85.4,,30,4,85.4,15,0.3409090909090909
136,Frank Onyeka,0,3,837,11,89.9,125.8,106,32.3,3,0,0,48,MID,Brentford,85.4,,9,4,85.4,4,0.08333333333333333
137,Shandon Baptiste,0,2,600,6,144.5,107.8,54,30.7,1,1,1,45,MID,Brentford,85.4,,6,4,85.4,4,0.08888888888888889
138,Bryan Mbeumo,9,9,2905,39,766.3,662.4,866,229.3,10,0,5,57,FWD,Brentford,85.4,,32,4,85.4,15,0.2631578947368421
144,Aaron Hickey,0,3,1918,30,119.8,223.6,98,44.2,5,0,7,49,DEF,Brentford,85.4,,21,4,85.4,6,0.12244897959183673
145,Keane Lewis-Potter,0,1,313,4,64.0,42.0,114,21.9,0,0,0,52,MID,Brentford,85.4,,3,4,85.4,3,0.057692307692307696
147,Ben Mee,3,2,3269,40,92.0,761.4,307,116.3,12,0,2,48,DEF,Brentford,85.4,,36,4,85.4,16,0.3333333333333333
150,Mikkel Damsgaard,0,0,970,14,161.0,137.4,146,44.5,3,0,4,50,MID,Brentford,85.4,,10,4,85.4,6,0.12
151,Mathias Jorgensen,0,1,1097,15,18.2,189.8,45,25.6,4,0,2,39,DEF,Brentford,85.4,,12,4,85.4,3,0.07692307692307693
156,Kevin Schade,0,1,723,7,110.4,72.2,205,38.7,3,0,2,49,MID,Brentford,85.4,,8,4,85.4,5,0.10204081632653061
158,Adam Lallana,2,1,717,10,186.7,144.2,152,48.5,5,0,0,48,MID,Brighton,87.9,,7,5,87.9,7,0.14583333333333334
159,Jason Steele,0,1,1350,23,13.0,347.6,0,36.1,6,0,1,40,GK,Brighton,87.9,36.0,15,5,87.9,5,0.125
160,Danny Welbeck,6,5,1844,28,390.6,378.2,782,155.4,6,0,0,65,FWD,Brighton,87.9,,20,5,87.9,10,0.15384615384615385
161,Pascal Groß,9,8,3240,51,1215.4,888.4,578,268.6,11,0,7,54,MID,Brighton,87.9,,36,5,87.9,40,0.7407407407407407
162,Lewis Dunk,1,1,3240,50,163.6,661.4,198,102.4,12,0,4,48,DEF,Brighton,87.9,,36,5,87.9,14,0.2916666666666667
163,Solly March,6,10,2719,40,965.8,791.8,955,271.4,10,0,2,65,MID,Brighton,87.9,,30,5,87.9,40,0.6153846153846154
164,Adam Webster,0,0,1983,27,104.0,354.0,126,58.4,9,0,2,45,DEF,Brighton,87.9,,22,5,87.9,8,0.17777777777777778
165,Joël Veltman,1,1,2183,29,200.8,406.2,162,77.2,10,0,6,46,DEF,Brighton,87.9,,24,5,87.9,11,0.2391304347826087
166,Robert Sánchez,0,0,2070,30,0.1,439.0,0,43.9,6,0,2,44,GK,Chelsea,89.0,46.0,23,6,89.0,6,0.13636363636363635
167,Tariq Lamptey,0,0,439,7,87.2,70.6,48,20.6,1,0,1,42,DEF,Brighton,87.9,,4,5,87.9,2,0.047619047619047616
169,Alexis Mac Allister,10,2,2882,45,729.6,741.0,706,217.8,10,0,8,60,MID,Liverpool,95.1,,32,7,95.09999999999998,35,0.5833333333333334
173,Moisés Caicedo Corozo,1,1,3138,47,668.6,582.2,210,146.3,10,0,10,50,MID,Brighton,87.9,,34,5,87.9,21,0.42
176,Deniz Undav,5,2,614,9,105.7,157.6,333,59.5,2,0,2,50,FWD,Brighton,87.9,,6,5,87.9,4,0.08
177,Kaoru Mitoma,7,9,2311,35,567.6,566.8,857,198.9,8,0,0,65,MID,Brighton,87.9,,25,5,87.9,29,0.4461538461538462
178,Julio Enciso,4,3,794,12,161.0,255.8,370,78.5,4,0,1,46,FWD,Brighton,87.9,,8,5,87.9,5,0.10869565217391304
180,Billy Gilmour,0,1,502,8,56.5,67.6,33,15.8,2,0,1,42,MID,Brighton,87.9,,5,5,87.9,2,0.047619047619047616
184,Levi Colwill,0,2,1218,21,100.7,222.0,50,37.4,3,0,1,44,DEF,Brighton,87.9,,13,5,87.9,5,0.11363636363636363
185,Pervis Estupiñán,1,7,2674,43,752.9,570.2,295,161.3,10,0,4,50,DEF,Brighton,87.9,,29,5,87.9,23,0.46
186,Evan Ferguson,6,2,942,12,129.1,284.2,350,76.5,6,0,1,46,FWD,Brighton,87.9,,10,5,87.9,5,0.10869565217391304
191,Facundo Buonanotte,1,1,558,12,96.1,87.8,102,27.8,1,0,2,45,MID,Brighton,87.9,,6,5,87.9,4,0.08888888888888889
197,Carney Chukwuemeka,0,0,342,7,69.7,57.6,72,19.9,1,0,0,42,MID,Chelsea,89.0,,3,6,89.0,2,0.047619047619047616
198,Marc Cucurella Saseta,0,2,1669,20,232.5,354.4,72,65.9,6,0,4,49,DEF,Chelsea,89.0,,18,6,89.0,9,0.1836734693877551
199,César Azpilicueta,0,0,1521,21,206.7,259.2,93,55.8,3,0,3,47,DEF,Chelsea,89.0,,16,6,89.0,8,0.1702127659574468
200,Thiago Emiliano da Silva,0,2,2351,32,86.1,657.2,137,88.0,6,0,2,54,DEF,Chelsea,89.0,,26,6,89.0,12,0.2222222222222222
203,Mateo Kovacic,1,2,1699,25,363.8,294.2,114,77.5,4,0,8,49,MID,Chelsea,89.0,,18,6,89.0,11,0.22448979591836735
204,Kepa Arrizabalaga,0,0,2565,33,0.1,706.2,0,70.6,9,0,1,45,GK,Chelsea,89.0,90.0,28,6,89.0,10,0.2222222222222222
205,N'Golo Kanté,0,1,517,7,186.9,107.0,58,35.2,2,0,1,48,MID,Chelsea,89.0,,5,6,89.0,5,0.10416666666666667
206,Hakim Ziyech,0,3,649,7,230.9,155.4,113,49.0,2,0,1,55,MID,Chelsea,89.0,,7,6,89.0,7,0.12727272727272726
207,Ruben Loftus-Cheek,0,1,1530,23,234.8,206.6,173,61.6,5,0,1,50,MID,Chelsea,89.0,,17,6,89.0,9,0.18
210,Ben Chilwell,2,3,1402,19,382.6,283.4,178,84.2,4,0,3,56,DEF,Chelsea,89.0,,15,6,89.0,12,0.21428571428571427
211,Christian Pulisic,1,1,805,11,166.7,117.2,210,49.1,3,0,1,56,MID,Chelsea,89.0,,8,6,89.0,7,0.125
212,Trevoh Chalobah,0,0,1601,24,93.5,283.6,108,48.7,5,0,4,44,DEF,Chelsea,89.0,,17,6,89.0,7,0.1590909090909091
213,Mason Mount,3,4,1644,21,463.1,331.4,376,117.2,8,0,4,70,MID,Manchester United,89.3,,18,8,89.3,17,0.24285714285714285
216,Kai Havertz,7,1,2565,31,513.3,470.2,1012,199.3,9,0,5,75,FWD,Arsenal,94.6,,28,0,94.6,14,0.18666666666666668
217,Reece James,1,2,1242,17,358.2,292.2,153,80.4,2,0,4,55,DEF,Chelsea,89.0,,13,6,89.0,11,0.2
218,Edouard Mendy,0,0,855,14,0.0,200.4,0,20.2,1,0,1,48,GK,Chelsea,89.0,25.0,9,6,89.0,3,0.0625
219,Conor Gallagher,3,1,1608,23,343.5,379.8,321,104.3,4,1,9,56,MID,Chelsea,89.0,,17,6,89.0,15,0.26785714285714285
222,Wesley Fofana,1,0,1362,24,59.0,289.2,86,43.8,2,0,4,43,DEF,Chelsea,89.0,,15,6,89.0,6,0.13953488372093023
223,Raheem Sterling,6,4,1886,27,479.8,388.2,603,146.8,5,0,4,70,MID,Chelsea,89.0,,20,6,89.0,22,0.3142857142857143
224,Kalidou Koulibaly,2,1,1798,22,104.1,497.4,141,74.5,6,1,5,55,DEF,Chelsea,89.0,,19,6,89.0,10,0.18181818181818182
226,Denis Zakaria,0,0,409,5,22.6,44.6,24,9.2,2,0,0,49,MID,Chelsea,89.0,,4,6,89.0,1,0.02040816326530612
227,Pierre-Emerick Aubameyang,1,0,546,8,59.4,55.0,177,28.5,1,0,1,84,FWD,Chelsea,89.0,,6,6,89.0,1,0.011904761904761904
